   lat,    lon,    alt,    v_n,    v_e,    v_d,  gyrox,  gyroy,  gyroz,   accx,   accy,   accz,   magx,   magy,   magz
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01059898, -0.01381528, 0.01569250, 0.80368394,  0.14366310, -9.43453926, 47.31498328, 3.85791850, 2.65159169
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02143707, 0.00229594, -0.01917382, 0.72046307,  0.24522782, -10.02003526, 47.26789184, 4.93328384, 1.42521142
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00545129, 0.02361092, -0.04156620, 0.63526984,  0.18613019, -10.00507674, 47.40341962, 3.35647683, 1.50731124
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00730830, -0.00623398, -0.03392724, 0.65480888,  0.10223973, -9.81124958, 47.17911935, 5.69088542, 1.53838768
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01570567, 0.00211620, -0.02224965, 0.56243096,  0.10786234, -9.97093956, 47.41072857, 2.80137208, 2.23545233
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02759690, -0.00376829, -0.03765317, 0.90353529,  -0.18575836, -9.97121948, 47.27704248, 4.17101175, 2.84710934
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02364336, 0.01551044, -0.00214984, 0.70744014,  -0.19690879, -10.36886713, 47.24710053, 4.92758456, 2.01308674
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02064599, 0.01568349, 0.02447212, 0.56086369,  0.06477706, -10.61635765, 47.38000484, 3.65627076, 1.54562022
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00449584, 0.01286545, -0.00659201, 0.68754233,  0.34759356, -10.40759691, 47.29806829, 3.55806329, 3.29469842
45.41767949, 11.86749428, 171.58410246, 14.00152179, 8.15058506, 1.20853544, 0.00600569, -0.00869259, -0.03836774, 0.49386192,  0.29904732, -10.02434923, 47.35550778, 4.06151372, 1.25781765
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01162021, 0.00492977, -0.00754968, 0.38524017,  -0.13497304, -9.87228450, 47.16256680, 4.97652425, 3.39832529
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01520990, 0.00474647, -0.00352392, 0.42617193,  -0.04607608, -9.94978742, 47.13160979, 5.97209319, 1.88880313
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00616589, 0.02126073, 0.00583096, 0.58294210,  0.11203983, -10.07724404, 47.18969290, 5.24255196, 2.50412644
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01718337, -0.00259662, -0.00178086, 0.91015055,  0.12326663, -9.92710974, 47.27595156, 4.50884279, 2.29714092
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03593303, 0.00720334, -0.03714449, 0.97692574,  0.04640164, -9.96372413, 47.32330740, 4.27456150, 1.68962018
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00839856, 0.00176738, -0.01054609, 1.00045824,  0.01834047, -10.19710897, 47.39840501, 2.97668871, 2.26994326
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01703143, 0.00817105, -0.00323426, 1.19068334,  -0.19448998, -10.00480217, 47.26169907, 4.39152743, 2.76918835
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01590860, -0.01323055, -0.01100096, 0.81820391,  -0.02724863, -9.74151978, 47.28713230, 4.05590087, 2.84585711
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00849081, 0.01247038, -0.00209171, 0.90366715,  0.22624992, -9.91755246, 47.22506506, 5.33921761, 1.38134045
45.41783457, 11.86756959, 171.03197766, 14.23279307, 9.52686688, -0.87386625, -0.00807987, 0.00723324, 0.00621919, 0.92743176,  0.14104471, -9.75298469, 47.42675658, 1.76515743, 2.86515186
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00233271, 0.00142122, -0.03183267, 0.95883551,  0.13815480, -9.14696041, 47.26520469, 4.71668922, 2.09174208
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01386487, -0.02462523, -0.05082648, 0.90255009,  -0.01792986, -9.49127721, 47.37768609, 3.42886250, 2.05423427
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00548893, 0.00531664, -0.02427426, 0.93495616,  -0.15597464, -10.10718724, 47.33467191, 4.03120390, 1.94944777
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02818087, 0.00181159, -0.00516119, 0.85356693,  -0.37604657, -10.33776981, 47.27841958, 4.92956994, 1.03561498
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02530330, -0.00207387, 0.04065995, 0.68165201,  -0.03519730, -10.09604591, 47.24341518, 4.26401237, 3.24037595
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01851839, 0.01729444, 0.01524461, 0.43404370,  0.26454010, -9.99117388, 47.27452445, 4.69032729, 1.93449837
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02857754, -0.00635585, -0.01322172, 0.38895338,  0.25667294, -9.67752203, 47.34098063, 3.77346915, 2.28354985
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01224106, -0.01122305, -0.03910068, 0.66791667,  0.22806277, -9.55204730, 47.32592890, 3.71650234, 2.65822879
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01136900, -0.02015504, -0.03051129, 1.02391775,  0.07855121, -9.40754847, 47.41300480, 3.28255859, 1.36158047
45.41796866, 11.86768412, 170.36871833, 14.93072413, 6.55196800, 0.89122876, -0.00427679, -0.00914050, -0.03505915, 1.12948609,  -0.13858875, -9.85762248, 47.28845515, 4.83502775, 1.02305022
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03567841, 0.00525085, 0.00903001, 0.73544408,  -0.21038876, -9.52828259, 47.30205042, 3.99077857, 2.68548486
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00940077, -0.01113509, 0.05851666, 1.13872046,  -0.16424552, -9.41836462, 47.39167020, 3.56025392, 1.40581060
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00810498, -0.00799337, 0.04401326, 1.14406881,  0.09401432, -9.69311535, 47.39538756, 2.64918652, 2.69836339
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04878529, 0.00494792, -0.01483035, 1.30901517,  0.19652765, -10.44199802, 47.37159000, 3.04722429, 2.69610848
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04012907, -0.00111253, -0.02080303, 1.13925048,  -0.23275835, -10.45725425, 47.33475516, 3.64237120, 2.60311394
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03142345, 0.01059042, -0.02213229, 0.77141423,  -0.00485667, -10.04038300, 47.44457216, 2.66456092, 1.59210669
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01098693, -0.00707450, 0.01695990, 0.41394335,  -0.02242690, -9.13775200, 47.38368601, 3.77571215, 1.07350531
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01444955, -0.01149828, -0.03940301, -0.05809861,  0.16837167, -8.74777232, 47.23311243, 5.21679494, 1.56213213
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01958054, -0.00114694, -0.02625097, 0.11549244,  0.09154863, -9.17844732, 47.50275905, 1.24109419, 1.60302344
45.41807955, 11.86780932, 172.91856121, 14.34564808, 9.51006570, 0.05395871, 0.01311346, 0.00555597, -0.03217291, 0.17875385,  -0.01673819, -9.57092373, 47.30499581, 4.72267102, 0.74556390
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01034442, 0.00146184, 0.00913371, 0.42088719,  -0.41048879, -9.57627484, 47.31664530, 4.55898976, 0.98630946
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04825802, -0.00250453, 0.01703214, 0.64619257,  -0.26232972, -9.11069108, 47.45665909, 2.78827599, 0.84447699
