lat, lon, h, v_n, v_e, v_d, q0, q1, q2, q3, xg_1, xg_2, xg_3
45.418183, 11.867903, 173.126002, 14.399970, 9.182807, 0.037525, 0.975999, -0.012248, -0.032965, 0.214915, 0.007642, 0.003001, -0.019676
45.418196, 11.867915, 173.122249, 14.413941, 9.176526, 0.067146, 0.976590, -0.011934, -0.032694, 0.212273, 0.007642, 0.003001, -0.019676
45.418207, 11.867903, 170.912384, 13.265809, 8.007036, 1.625174, 0.977201, -0.010924, -0.033108, 0.209433, 0.007642, 0.003001, -0.019676
45.418219, 11.867913, 170.749866, 13.325700, 7.994649, 1.610877, 0.977761, -0.011303, -0.033641, 0.206697, 0.007642, 0.003001, -0.019676
45.418231, 11.867924, 170.588779, 13.387567, 7.950405, 1.585702, 0.978419, -0.011223, -0.033720, 0.203552, 0.007642, 0.003001, -0.019676
45.418243, 11.867934, 170.430208, 13.388964, 7.940143, 1.536038, 0.979853, -0.012769, -0.032279, 0.196678, 0.007641, 0.003001, -0.019676
45.418255, 11.867944, 170.276605, 13.373915, 7.934591, 1.471514, 0.980597, -0.013237, -0.032433, 0.192877, 0.007641, 0.003001, -0.019676
45.418267, 11.867954, 170.129453, 13.313890, 7.949989, 1.446504, 0.981289, -0.015012, -0.032852, 0.189121, 0.007641, 0.003001, -0.019676
45.418279, 11.867964, 169.984803, 13.252929, 7.989135, 1.460155, 0.981812, -0.015275, -0.033523, 0.186249, 0.007641, 0.003001, -0.019676
45.418291, 11.867975, 169.838787, 13.229302, 8.024965, 1.473388, 0.982659, -0.014254, -0.034965, 0.181539, 0.007641, 0.003001, -0.019677
45.418303, 11.867985, 169.691449, 13.216187, 8.048579, 1.487772, 0.982900, -0.013729, -0.035542, 0.180153, 0.007641, 0.003001, -0.019677
45.418315, 11.867995, 169.542671, 13.219311, 8.064753, 1.487305, 0.983261, -0.012207, -0.036056, 0.178181, 0.007641, 0.003001, -0.019677
45.418335, 11.867946, 172.715000, 12.959780, 8.501909, 0.984551, 0.982996, -0.009429, -0.034848, 0.180046, 0.007643, 0.003002, -0.019677
45.418346, 11.867957, 172.616545, 12.944335, 8.517752, 1.037573, 0.983230, -0.008530, -0.034513, 0.178871, 0.007643, 0.003002, -0.019677
45.418358, 11.867968, 172.512788, 12.941986, 8.525279, 1.076660, 0.983887, -0.008274, -0.035470, 0.175040, 0.007643, 0.003002, -0.019677
45.418370, 11.867979, 172.405122, 12.949622, 8.515317, 1.068489, 0.984433, -0.008401, -0.035414, 0.171948, 0.007643, 0.003002, -0.019677
45.418381, 11.867990, 172.298273, 12.970152, 8.497309, 1.074819, 0.984827, -0.007744, -0.036379, 0.169509, 0.007643, 0.003002, -0.019677
45.418393, 11.868001, 172.190791, 12.972075, 8.498533, 1.066435, 0.985056, -0.007177, -0.036346, 0.168203, 0.007643, 0.003003, -0.019677
45.418405, 11.868012, 172.084148, 12.943231, 8.512793, 1.024969, 0.985423, -0.005528, -0.037329, 0.165884, 0.007643, 0.003003, -0.019678
45.418417, 11.868023, 171.981651, 12.928977, 8.495792, 0.996661, 0.986070, -0.007108, -0.036085, 0.162211, 0.007641, 0.003004, -0.019678
45.418429, 11.868034, 171.881985, 12.902523, 8.487473, 0.940682, 0.986068, -0.007551, -0.036775, 0.162050, 0.007641, 0.003004, -0.019678
45.418440, 11.868044, 171.787917, 12.892115, 8.506165, 0.910465, 0.986536, -0.006351, -0.037342, 0.159097, 0.007641, 0.003004, -0.019678
45.418492, 11.868058, 169.223504, 15.247695, 8.264659, 1.083629, 0.986695, -0.004771, -0.037999, 0.158007, 0.007641, 0.003004, -0.019678
45.418506, 11.868069, 169.115141, 15.246956, 8.250888, 1.118993, 0.986668, -0.003584, -0.037578, 0.158305, 0.007641, 0.003004, -0.019679
45.418519, 11.868079, 169.003241, 15.276806, 8.214435, 1.115652, 0.986584, -0.002358, -0.037719, 0.158821, 0.007641, 0.003004, -0.019679
45.418533, 11.868090, 168.891676, 15.327419, 8.184827, 1.090858, 0.986868, -0.001529, -0.038311, 0.156913, 0.007641, 0.003004, -0.019679
45.418547, 11.868100, 168.782590, 15.352701, 8.160131, 1.090499, 0.987851, -0.001167, -0.039745, 0.150233, 0.007640, 0.003003, -0.019679
45.418561, 11.868111, 168.673541, 15.363305, 8.156579, 1.034403, 0.988382, -0.002144, -0.039509, 0.146746, 0.007638, 0.003003, -0.019680
45.418575, 11.868121, 168.570100, 15.352928, 8.143943, 0.971232, 0.988307, -0.001558, -0.039679, 0.147214, 0.007638, 0.003003, -0.019680
45.418589, 11.868132, 168.472977, 15.338939, 8.135209, 0.932234, 0.988454, -0.003396, -0.040114, 0.146075, 0.007638, 0.003003, -0.019680
45.418603, 11.868142, 168.379754, 15.328936, 8.162381, 0.899857, 0.988676, -0.003439, -0.039434, 0.144753, 0.007638, 0.003003, -0.019680
45.418616, 11.868153, 168.289768, 15.318530, 8.181551, 0.853769, 0.988782, -0.002817, -0.039627, 0.143983, 0.007638, 0.003003, -0.019680
45.418586, 11.868178, 172.286841, 14.653595, 8.025023, -1.265414, 0.988649, -0.001057, -0.039670, 0.144905, 0.007638, 0.003003, -0.019680
45.418599, 11.868189, 172.413382, 14.681030, 8.021562, -1.242739, 0.988369, 0.000671, -0.040251, 0.146646, 0.007638, 0.003003, -0.019681
45.418613, 11.868199, 172.537656, 14.722850, 7.998498, -1.210315, 0.988030, 0.002395, -0.039721, 0.149038, 0.007638, 0.003003, -0.019681
45.418626, 11.868209, 172.658688, 14.715310, 7.943639, -1.217820, 0.988045, 0.003953, -0.039532, 0.148959, 0.007638, 0.003003, -0.019681
45.418640, 11.868219, 172.780470, 14.711600, 7.902281, -1.175621, 0.987980, -0.001025, -0.040170, 0.149269, 0.007630, 0.003000, -0.019682
45.418653, 11.868229, 172.898032, 14.714054, 7.873969, -1.096079, 0.988534, -0.001566, -0.039941, 0.145609, 0.007630, 0.003000, -0.019682
45.418666, 11.868239, 173.007640, 14.729661, 7.865119, -1.047892, 0.988939, -0.002156, -0.040520, 0.142666, 0.007630, 0.003000, -0.019682
45.418681, 11.868250, 173.112429, 14.756340, 7.839039, -1.095680, 0.990150, -0.003833, -0.044671, 0.132637, 0.007628, 0.002993, -0.019683
45.418695, 11.868260, 173.221997, 14.805338, 7.826158, -1.196484, 0.990766, -0.004392, -0.050375, 0.125801, 0.007627, 0.002986, -0.019684
45.418708, 11.868270, 173.341645, 14.864241, 7.814765, -1.279867, 0.991014, -0.003631, -0.050324, 0.123876, 0.007628, 0.002986, -0.019684
45.418732, 11.868274, 172.092414, 14.351554, 8.221501, 0.872302, 0.991217, -0.006459, -0.051911, 0.121463, 0.007621, 0.002982, -0.019685
45.418745, 11.868284, 172.005184, 14.368854, 8.190625, 0.811605, 0.991388, -0.010598, -0.051525, 0.119930, 0.007610, 0.002980, -0.019686
45.418758, 11.868295, 171.924024, 14.367317, 8.138269, 0.751007, 0.991609, -0.011534, -0.051079, 0.118189, 0.007610, 0.002980, -0.019686
45.418771, 11.868305, 171.848923, 14.367939, 8.139864, 0.709441, 0.991993, -0.011302, -0.051045, 0.114967, 0.007610, 0.002980, -0.019686
45.418784, 11.868316, 171.777979, 14.361844, 8.179792, 0.681884, 0.992369, -0.010975, -0.050808, 0.111808, 0.007610, 0.002980, -0.019686
45.418796, 11.868326, 171.709790, 14.341376, 8.207132, 0.662933, 0.992287, -0.010615, -0.051374, 0.112316, 0.007610, 0.002980, -0.019686
45.418809, 11.868337, 171.643497, 14.313659, 8.246868, 0.680168, 0.992224, -0.009861, -0.050243, 0.113447, 0.007610, 0.002980, -0.019686
45.418821, 11.868347, 171.575480, 14.315315, 8.239393, 0.719926, 0.991674, -0.006717, -0.051879, 0.117668, 0.007615, 0.002977, -0.019686
45.418834, 11.868358, 171.503488, 14.342643, 8.255102, 0.773869, 0.991604, -0.003870, -0.051643, 0.118487, 0.007615, 0.002977, -0.019686
45.418846, 11.868368, 171.426101, 14.361566, 8.280432, 0.780942, 0.991804, -0.001990, -0.049598, 0.117733, 0.007616, 0.002982, -0.019686
45.418882, 11.868412, 172.984918, 13.203529, 9.469224, 0.204868, 0.991661, -0.001566, -0.050119, 0.118718, 0.007616, 0.002982, -0.019686
45.418894, 11.868424, 172.964432, 13.148242, 9.472263, 0.170822, 0.991702, -0.002195, -0.049532, 0.118617, 0.007616, 0.002982, -0.019686
45.418905, 11.868436, 172.947349, 13.097048, 9.490544, 0.145867, 0.991970, -0.001716, -0.048657, 0.116722, 0.007616, 0.002982, -0.019687
45.418917, 11.868448, 172.932763, 13.074755, 9.485794, 0.123724, 0.992234, -0.002209, -0.048125, 0.114680, 0.007616, 0.002982, -0.019687
45.418929, 11.868460, 172.920390, 13.080098, 9.482267, 0.150080, 0.992182, -0.001976, -0.047687, 0.115314, 0.007616, 0.002982, -0.019687
45.418941, 11.868472, 172.905382, 13.117906, 9.456751, 0.143124, 0.992225, -0.002789, -0.046569, 0.115384, 0.007616, 0.002982, -0.019687
45.418953, 11.868484, 172.891070, 13.152197, 9.438854, 0.128423, 0.992233, -0.003351, -0.046874, 0.115175, 0.007616, 0.002982, -0.019687
45.418964, 11.868497, 172.878228, 13.146099, 9.414693, 0.126949, 0.992379, -0.004621, -0.046227, 0.114133, 0.007616, 0.002982, -0.019687
45.418976, 11.868509, 172.865533, 13.137154, 9.394154, 0.142965, 0.992521, -0.005119, -0.045849, 0.113022, 0.007616, 0.002982, -0.019687
